,Path ID_,Latitude_Destination,Latitude_Origin,Longitude_Destination,Longitude_Origin,origin_address,destination_address
0,TX-01_TX-02,40.73,40.72,-73.94,-73.96,"148, Wythe Avenue, Brooklyn, Kings County, City of New York, New York, 11249, United States","360, Kingsland Avenue, Brooklyn, Kings County, City of New York, New York, 11222, United States"
1,TX-03_TX-04,40.78,40.77,-73.91,-73.9,"21-51, 48th Street, Steinway, Queens, City of New York, New York, 11105, United States","20-61, 27th Street, Steinway, Queens, City of New York, New York, 11105, United States"
2,TX-05_TX-06,40.79,40.81,-73.98,-73.97,"Cherry Walk, Manhattan Community Board 9, Manhattan, New York County, City of New York, New York, 10115, United States","The Normandy, 140, Riverside Drive, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10024, United States"
3,TX-07_TX-06,40.79,40.78,-73.98,-73.99,"Pier I, Riverside Park South Esplanade, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10069, United States","The Normandy, 140, Riverside Drive, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10024, United States"
4,TX-08_TX-06,40.79,40.81,-73.98,-73.96,"Russell, 515, West 120th Street, Manhattan Community Board 9, Morningside Heights, New York County, City of New York, New York, 10027, United States","The Normandy, 140, Riverside Drive, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10024, United States"
